Timestamp,Name of Food Retailer,Address,Date Assessed,Type of Store,What type of Specialty Food Store?,EBT Accepted?,Number of Locations (chain?),Median Price of a Dozen Eggs,Median Price of a Loaf of Bread,Median Price of a Gallon of Milk,Milk Standardized_Gallon,Median Price of Oranges,Orange Standardized_lbs,Median Price of Organic Oranges,Organic Oranges Standardized_lbs,Median Price of Avocados,Standardized Avocado_each,Median Price of Organic Avocados,Standardized Organic Avocado_each,Median Price of Carrots,Standardized Carrots_lbs,Median Price of Organic Carrots,Standardized Organic Carrots_lbs,Median Price of Broccoli,Standardized Brocolli_lbs,Median Price of Organic Broccoli,Standardized Organic Brocolli_lbs,Is there signage in other languages than English?,"If so, what languages?",Access Notes,Is there fresh produce available?,What percentage of the store is produce?,Is there organic produce available?,Is there local produce available?,How many types of fresh produce are available?,Is there an ethnic section?,Are there options besides national name brand ethnic foods? ,What ethnic food nationalities are available?,Selection Notes,Is there signage or visible documentation of environmental work or actions?,"If so, what kind of environmental work?",Is there signage or visible documentation of social justice work or actions?,"If so, what kind of social justice work?",General Notes
2/16/2022 16:19:16,Kings Market,"2398 Bryant St, San Francisco, CA 94110",2/16/2022,Convenience Store,,No,1,3.99,4.99,4.99,4.99,,,,,2.25 (each),2.25,,,,,,,,,,,No,,,Yes,<10%,Maybe,Can't tell...,6,No,,,,No,,Yes,COVID-19 resources,
2/16/2022 16:24:34,Serv U Market,"2750 21st St, San Francisco, CA 94110",2/16/2022,Convenience Store,,Yes,1,5.99,4.99,6.99,6.99,1.00 (each),2,,,,,,,,,,,,,,,No,,,Yes,<10%,Maybe,Can't tell...,7,No,,,,No,,No,,
2/16/2022 16:29:27,Norm’s Market,"2201 Bryant St, San Francisco, CA 94110",2/16/2022,Convenience Store,,No,1,4.99,6.5,7.25,7.25,.75 (each),1.5,,,2.50 (each),2.5,,,,,,,,,,,No,,,Yes,<10%,Maybe,Can't tell...,10,No,,,,Yes,Recycling Program,Yes,COVID-19 resources,
2/16/2022 16:59:15,Foods Co,"1800 Folsom St, San Francisco, CA 94103",2/16/2022,Supermarket,,Yes,20,4.29,2.19,3.79,3.79,1.29 (/lbs),1.29,,,1.50 (each),1.5,,,.79(/lbs),0.79,,,1.79 (/lbs),1.79 (/lbs),,,Yes,Spanish,,Yes,<10%,No,Can't tell...,50+,Yes,Yes,Hispanic/Latinx,,Yes,Recycling Program,Yes,COVID-19 resources,
2/16/2022 17:14:48,Rainbow Grocery,"1745 Folsom St, San Francisco, CA 94103",2/16/2022,Grocery Store,,Yes,1,7.44,5.35,8.29,8.29,2.99 (/lbs),2.99,2.99 (/lbs),2.99,6.99 (/lbs),3.08,,,1.19 (/lbs),1.19,1.19 (/lbs),1.19,1.99 (/lbs),1.99 (/lbs),1.99 (/lbs),1.99,Yes,Spanish,,Yes,25-50%,Yes,Yes,50+,No,,,,Yes,"Recycling Program, Organic signage",Yes,"BLM, Black History Month, community engagement projects",Worker owned Co-op
2/23/2022 12:51:45,Pay and Save Market,"599 Guerrero St, San Francisco, CA 94110",2/23/2022,Convenience Store,,Yes,1,6.99,6,7.5,7.5,1(each),2,,,,,,,,,,,,,,,No,,,Yes,<10%,No,No,6,No,,,,No,,No,,
2/23/2022 13:02:36,Bi-Rite Market,"3639 18th St, San Francisco, CA 94110",2/23/2022,Grocery Store,,Yes,2,8.49,7.24,8.99,8.99,3.24 (/lbs),3.24,3.24 (/lbs),3.24,5.99 (/lbs),2.64,3.99 (/lbs),1.76,1.99 (/lbs),1.99,1.99 (/lbs),1.99,3.99 (/lbs),3.99 (/lbs),3.99 (/lbs),3.99,Yes,Spanish,,Yes,25-50%,Yes,Yes,50+,No,,,,Yes,"Organic Signage, Sustainable Signage, Local Signage",Yes,"Feeding local community signage, social responsibility signage",
2/23/2022 13:16:13,K & D Market,"3177 16th St, San Francisco, CA 94103",2/23/2022,Convenience Store,,No,1,3.99,4.99,3.99 (half),7.98,1.49 (each),2.98,,,,,,,,,,,,,,,Yes,Spanish,,Yes,<10%,No,No,9,No,,,,Yes,"Recycling Program, Bring own bags signage",No,,
2/23/2022 13:22:59,Randa’s Market,"3131 16th St, San Francisco, CA 94103",2/23/2022,Convenience Store,,No,1,4.99,2.5,5.99,5.99,,,,,,,,,,,,,,,,,No,,,Yes,<10%,No,No,3,No,,,,Yes,Environmentally friendly chemicals sign,No,,Clerk knew costumers
2/23/2022 13:28:15,Stagi Sixteenth Street Liquor,"3055 16th St, San Francisco, CA 94103",2/23/2022,Convenience Store,,No,1,,,,,,,,,,,,,,,,,,,,,No,,,No,0,No,No,0,No,,,,No,,No,,Liquor store
2/23/2022 13:32:25,San Francisco Dollar & Up,"3030 16th St, San Francisco, CA 94103",2/23/2022,Supermarket,,No,1,,,,,,,,,,,,,,,,,,,,,Yes,Spanish,,No,0,No,No,0,Yes,Yes,Hispanic/Latinx,,No,,No,,Dollar Store
2/23/2022 13:40:54,Nieves Cinco De Mayo,"3052 16th St, San Francisco, CA 94103",2/23/2022,Specialty Food Store,Dessert & Drink Store,No,1,,,,,,,,,,,,,,,,,,,,,Yes,Spanish,Spanish spoken,Freshly Juiced,<10%,Maybe,Can't tell...,8,Yes,Yes,Hispanic/Latinx,,No,,Yes,COVID-19 resources (Spanish translation),
2/23/2022 13:53:18,Valmar Supermarket,"16 Valencia St, San Francisco, CA 94103",2/23/2022,Convenience Store,,Yes,1,5.5,3.49,6.99,6.99,1.00 (each),1.00 (each),,,1.75 (each),1.75,,,,,,,,,,,No,,,Yes,<10%,Maybe,Can't tell...,10,No,,,,Yes,Recycling Program,No,,
2/23/2022 14:01:10,Golden State Food & Liquor,"1859 Market St, San Francisco, CA 94103",2/23/2022,Convenience Store,,No,1,,2.5,,,,,,,,,,,,,,,,,,,No,,,No,0,No,No,0,No,,,,No,,No,,Clerk knew costumers
2/23/2022 14:11:31,"Nick’s Foods, Liquor & Groceries","1659 Market St, San Francisco, CA 94103",2/23/2022,Convenience Store,,Yes,1,4.5,2.99,5.5,5.5,.50 (each),.50 (each),,,,,,,,,,,,,,,No,,,Yes,<10%,No,No,2,No,,,,No,,Yes,COVID-19 resources,
2/23/2022 14:21:53,Ted’s Market,"1530 Howard St, San Francisco, CA 94103",2/23/2022,Convenience Store,,No,1,6.59,,4.6,4.6,1.50 (each),1.50 (each),,,,,,,,,,,,,,,Yes,Spanish,,Yes,<10%,Maybe,Can't tell...,7,No,,,,No,,Yes,COVID-19 resources,Clerk knew costumers
2/23/2022 14:30:17,Garage Cafe,"320 11th St, San Francisco, CA 94103",2/23/2022,Convenience Store,,No,1,3.89,5.99,6.89,6.89,.75 (each),.75 (each),,,,,,,,,,,,,,,No,,,Yes,<10%,No,No,3,No,,,,No,,Yes,COVID-19 resources,
2/23/2022 14:46:11,Target,"1690 Folsom St, San Francisco, CA 94103",2/23/2022,Supermarket,,Yes,"1,926",4.29,3.19,4.99,4.99,.79 (each),.79 (each),.79 (each),1.58,0.65 (each),0.65,1.37 (each),1.37,1.29 (/lbs),1.29,1.29 (/lbs),1.29,,,,,Yes,Spanish,,Yes,<10%,Yes,No,39,Yes,No,"Hispanic/Latinx, Asian",,No,,Yes,COVID-19 resources,
2/23/2022 15:12:16,Gus’s Community Market,"2111 Harrison St, San Francisco, CA 94110",2/23/2022,Grocery Store,,Yes,3,5.99,5.99,7.99,7.99,1.99 (/lbs),1.99 (/lbs),2.99 (/lbs),2.99,2.50 (each),2.5,2.99 (each),2.99,.99 (/lbs),0.99,.99 (/lbs),0.99,3.99 (/lbs),3.99 (/lbs),3.99 (/lbs),3.99,No,,,Yes,25-50%,Yes,Yes,50+,No,,,,No,,No,,
2/23/2022 15:34:33,All Seasons Market,"401 Capp St, San Francisco, CA 94110",2/23/2022,Convenience Store,,Yes,1,4,3.99,5.99,5.99,,,,,,,,,,,,,,,,,Yes,Spanish,,No,0,No,No,0,No,,,,No,,Yes,COVID-19 resources (Spanish translation),
2/23/2022 15:53:53,De Todo Un Poco,"3056 24th St, San Francisco, CA 94110",2/23/2022,Supermarket,,No,1,,,,,,,,,,,,,,,,,,,,,Yes,Spanish,,No,0,No,No,0,No,,,,No,,Yes,COVID-19 resources (Spanish translation),General goods store (with very few food items)
2/23/2022 16:04:04,ABC Market,"2801 Bryant St, San Francisco, CA 94110",2/23/2022,Convenience Store,,Yes,1,4.5,5.59,6.99,6.99,,,,,2.99 (each),2.99,,,,,,,,,,,Yes,Spanish,,Yes,<10%,No,No,5,No,,,,No,,Yes,Anti-discrimination signage; COVID-19 resources (Spanish translation),
2/23/2022 16:17:01,Discount City,"2784-2786 Mission St, San Francisco, CA 94110",2/23/2022,Supermarket,,No,2,,,6.99,6.99,,,,,,,,,,,,,,,,,Yes,Spanish,,No,0,No,No,0,Yes,Yes,Hispanic/Latinx,,No,,No,,
3/2/2022 13:06:42,Whole Foods Market,"2001 Market St, San Francisco, CA 94114",3/2/2022,Supermarket,,Yes,500,5.99,5.49,6.14,6.14,1.99 (/lbs),1.99 (/lbs),2.39 (/lbs),2.39,2.49 (each),2.49,2.99 (each),2.99,1.49 (/lbs),1.49,1.49 (/lbs),1.49,3.49 (/lbs),3.49 (/lbs),3.74 (/lbs),3.74,No,,,Yes,10-25%,Yes,Yes,50+,No,,,,Yes,"Organic Signage, Local Signage",Yes,"Animal rights, education programs",Just outside of formal mission boundary
3/2/2022 13:21:49,Safeway,"2020 Market St, San Francisco, CA 94114",3/2/2022,Supermarket,,Yes,904,5.79,3.99,4.49,4.49,1.75 (/lbs),1.75 (/lbs),2.49 (/lbs),2.49,2.75 (each),2.75,2.99 (each),2.99,0.99 (/lbs),0.99,1.15 (/lbs),1.15,3.24 (per head),3.24 (per head),3.49 (per head),3.49,No,,,Yes,10-25%,Yes,Yes,50+,Yes,No,"Hispanic/Latinx, Asian",,Yes,"Organic Signage, Local Signage",Yes,"Pride flags, Animal rights",Just outside of formal mission boundary
3/2/2022 13:29:48,Spot Lite Market,"298 Guerrero St, San Francisco, CA 94103",3/2/2022,Convenience Store,,Yes,1,5.99,2.99,6.99,6.99,,,,,,,,,,,,,,,,,No,,,Yes,<10%,No,No,3,No,,,,No,,No,,
